state code,state,county,cz,czname,kfr_pooled_pooled_p25,kfr_pooled_pooled_p25_se,jail_pooled_pooled_p25,jail_pooled_pooled_p25_se, pooled_pooled_count ,kfr_black_pooled_p25,kfr_black_pooled_p25_se,kfr_hisp_pooled_p25,kfr_hisp_pooled_p25_se,kfr_white_pooled_p25,kfr_white_pooled_p25_se,jail_black_pooled_p25,jail_black_pooled_p25_se,jail_hisp_pooled_p25,jail_hisp_pooled_p25_se,jail_white_pooled_p25,jail_white_pooled_p25_se, white_pooled_count , black_pooled_count , hisp_pooled_count ,kfr_pooled_female_p25,kfr_pooled_female_p25_se,kfr_pooled_male_p25,kfr_pooled_male_p25_se,jail_pooled_female_p25,jail_pooled_female_p25_se,jail_pooled_male_p25,jail_pooled_male_p25_se, pooled_male_count , pooled_female_count ,kfr_black_female_p25,kfr_black_female_p25_se,kfr_hisp_female_p25,kfr_hisp_female_p25_se,kfr_white_female_p25,kfr_white_female_p25_se,kfr_black_male_p25,kfr_black_male_p25_se,kfr_hisp_male_p25,kfr_hisp_male_p25_se,kfr_white_male_p25,kfr_white_male_p25_se,jail_black_female_p25,jail_black_female_p25_se,jail_hisp_female_p25,jail_hisp_female_p25_se,jail_white_female_p25,jail_white_female_p25_se,jail_black_male_p25,jail_black_male_p25_se,jail_hisp_male_p25,jail_hisp_male_p25_se,jail_white_male_p25,jail_white_male_p25_se, white_male_count , black_male_count , hisp_male_count , white_female_count , black_female_count , hisp_female_count 
1,ALABAMA,1,11101,Montgomery,0.36,0.01,0.03,0.0,"  5,922 ",0.31,0.01,0.42,0.04,0.41,0.01,0.05,0.01,0.05,0.04,0.01,0.0,"  3,613 ","  1,978 ",  104 ,0.37,0.01,0.35,0.01,0.01,0.0,0.06,0.01,"  3,040 ","  2,882 ",0.32,0.01,0.44,0.05,0.42,0.01,0.3,0.01,0.41,0.05,0.4,0.01,0.01,0.0,0.04,0.03,0.0,0.0,0.11,0.02,0.058,0.06,0.025,0.007,"  1,874 ",  989 ,  50 ,"  1,739 ",  989 ,  54 
1,ALABAMA,3,11001,Mobile,0.39,0.0,0.02,0.0,"  15,458 ",0.3,0.01,0.45,0.02,0.43,0.0,0.04,0.01,0.03,0.02,0.02,0.0,"  10,771 ","  3,880 ",  429 ,0.4,0.01,0.38,0.01,0.01,0.0,0.04,0.0,"  7,963 ","  7,496 ",0.31,0.01,0.46,0.03,0.44,0.01,0.3,0.01,0.43,0.03,0.42,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.07,0.01,0.054,0.03,0.03,0.005,"  5,544 ","  1,965 ",  218 ,"  5,226 ","  1,916 ",  210 
1,ALABAMA,5,10301,Eufaula,0.35,0.01,0.03,0.01,"  4,864 ",0.31,0.01,,,0.43,0.01,0.05,0.01,,,0.01,0.0,"  1,358 ","  3,598 ",,0.36,0.01,0.34,0.01,0.0,0.0,0.07,0.01,"  2,492 ","  2,372 ",0.31,0.01,,,0.44,0.02,0.31,0.01,,,0.43,0.02,0.0,0.0,,,0.0,0.0,0.11,0.02,,,0.009,0.007,  730 ,"  1,787 ",,  630 ,"  1,806 ",
1,ALABAMA,7,10801,Tuscaloosa,0.36,0.01,0.03,0.01,"  3,061 ",0.31,0.01,0.37,0.08,0.4,0.01,0.05,0.02,,,0.02,0.01,"  1,923 ","  1,179 ",  36 ,0.36,0.01,0.37,0.01,0.0,0.0,0.06,0.01,"  1,576 ","  1,486 ",0.31,0.02,,,0.39,0.02,0.31,0.02,,,0.41,0.02,0.0,0.0,,,0.01,0.0,0.12,0.04,,,0.039,0.014,  983 ,  614 ,,  941 ,  566 ,
1,ALABAMA,9,10700,Birmingham,0.39,0.01,0.02,0.0,"  6,741 ",0.31,0.03,0.45,0.02,0.4,0.01,0.02,0.03,0.01,0.01,0.02,0.0,"  5,728 ",  134 ,  853 ,0.4,0.01,0.38,0.01,0.01,0.0,0.03,0.01,"  3,444 ","  3,294 ",0.33,0.04,0.44,0.03,0.42,0.01,0.27,0.05,0.47,0.03,0.39,0.01,0.03,0.04,0.0,0.0,0.01,0.0,,,0.038,0.03,0.035,0.007,"  2,947 ",  71 ,  443 ,"  2,779 ",  64 ,  412 
1,ALABAMA,11,9800,Auburn,0.35,0.01,0.02,0.01,"  2,581 ",0.33,0.01,,,0.5,0.03,0.02,0.01,,,0.02,0.02,  206 ,"  2,302 ",,0.35,0.01,0.34,0.01,0.01,0.0,0.04,0.01,"  1,217 ","  1,365 ",0.33,0.01,,,0.5,0.05,0.32,0.01,,,0.49,0.05,0.01,0.0,,,0.0,0.01,0.04,0.01,,,0.027,0.032,  88 ,"  1,096 ",,  121 ,"  1,200 ",
1,ALABAMA,13,11101,Montgomery,0.36,0.01,0.02,0.0,"  4,093 ",0.31,0.01,0.31,0.05,0.43,0.01,0.03,0.01,0.01,0.02,0.01,0.0,"  1,398 ","  2,696 ",  24 ,0.36,0.01,0.36,0.01,0.0,0.0,0.04,0.01,"  2,107 ","  1,983 ",0.31,0.01,,,0.42,0.02,0.31,0.01,,,0.43,0.02,0.0,0.0,,,0.0,0.0,0.07,0.02,,,0.006,0.003,  739 ,"  1,382 ",,  659 ,"  1,315 ",
1,ALABAMA,15,9600,LaGrange,0.36,0.0,0.03,0.0,"  15,036 ",0.32,0.0,0.4,0.02,0.4,0.0,0.05,0.01,0.01,0.0,0.01,0.0,"  9,231 ","  5,060 ",  272 ,0.37,0.0,0.35,0.0,0.01,0.0,0.05,0.0,"  7,604 ","  7,432 ",0.33,0.01,0.38,0.03,0.41,0.01,0.3,0.01,0.42,0.03,0.39,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.1,0.01,0.006,0.01,0.022,0.004,"  4,677 ","  2,554 ",  118 ,"  4,552 ","  2,508 ",  159 
1,ALABAMA,17,9600,LaGrange,0.34,0.0,0.02,0.0,"  5,885 ",0.32,0.01,0.48,0.06,0.38,0.01,0.02,0.01,0.02,0.03,0.02,0.01,"  2,176 ","  3,628 ",  65 ,0.35,0.01,0.33,0.01,0.0,0.0,0.04,0.01,"  2,994 ","  2,893 ",0.32,0.01,,,0.38,0.01,0.31,0.01,,,0.38,0.01,0.0,0.0,,,0.0,0.0,0.05,0.01,,,0.037,0.011,"  1,129 ","  1,807 ",,"  1,048 ","  1,821 ",
1,ALABAMA,19,6600,Rome,0.37,0.01,0.02,0.01,"  3,304 ",0.31,0.02,0.36,0.05,0.39,0.01,0.07,0.03,-0.02,0.02,0.02,0.0,"  2,897 ",  254 ,  73 ,0.36,0.01,0.37,0.01,0.0,0.0,0.04,0.01,"  1,754 ","  1,552 ",0.31,0.03,,,0.39,0.01,0.3,0.04,,,0.38,0.01,0.0,0.01,,,0.0,0.0,0.13,0.06,,,0.031,0.009,"  1,538 ",  130 ,,"  1,361 ",  122 ,
1,ALABAMA,21,10700,Birmingham,0.39,0.01,0.02,0.0,"  5,809 ",0.32,0.01,0.41,0.03,0.42,0.01,0.05,0.02,0.02,0.02,0.02,0.0,"  4,384 ","  1,107 ",  257 ,0.4,0.01,0.38,0.01,0.01,0.0,0.04,0.01,"  2,988 ","  2,820 ",0.32,0.01,0.4,0.05,0.42,0.01,0.32,0.02,0.4,0.05,0.41,0.01,0.01,0.01,0.0,0.01,0.01,0.0,0.11,0.03,0.011,0.02,0.035,0.008,"  2,248 ",  570 ,  148 ,"  2,134 ",  536 ,  111 
1,ALABAMA,23,10802,Demopolis,0.4,0.01,0.02,0.01,"  2,544 ",0.33,0.01,,,0.51,0.02,0.02,0.01,,,0.01,0.01,  832 ,"  1,764 ",,0.39,0.01,0.41,0.02,0.0,0.0,0.04,0.01,"  1,253 ","  1,290 ",0.32,0.01,,,0.51,0.03,0.34,0.02,,,0.51,0.03,0.0,0.0,,,0.01,0.01,0.05,0.02,,,0.006,0.004,  424 ,  864 ,,  408 ,  899 ,
1,ALABAMA,25,11001,Mobile,0.38,0.01,0.01,0.0,"  4,761 ",0.35,0.01,,,0.45,0.01,0.01,0.0,,,0.0,0.0,"  1,394 ","  3,327 ",,0.38,0.01,0.38,0.01,0.0,0.0,0.02,0.01,"  2,410 ","  2,351 ",0.35,0.01,,,0.47,0.02,0.35,0.01,,,0.44,0.02,0.0,0.0,,,0.0,0.0,0.03,0.01,,,0.002,0.003,  730 ,"  1,636 ",,  665 ,"  1,690 ",
1,ALABAMA,27,9500,Talladega,0.41,0.01,0.01,0.01,"  2,021 ",0.34,0.02,,,0.43,0.01,0.06,0.02,,,0.0,0.0,"  1,451 ",  574 ,,0.41,0.02,0.41,0.02,0.0,0.0,0.03,0.01,"  1,044 ",  979 ,0.33,0.02,,,0.44,0.02,0.34,0.03,,,0.43,0.02,0.01,0.01,,,0.0,0.0,0.15,0.06,,,0.006,0.003,  752 ,  302 ,,  702 ,  273 ,
1,ALABAMA,29,9600,LaGrange,0.41,0.01,0.03,0.01,"  2,070 ",0.38,0.03,,,0.44,0.01,0.06,0.03,,,0.03,0.01,"  1,810 ",  133 ,,0.44,0.02,0.39,0.01,0.01,0.01,0.06,0.02,"  1,086 ",  985 ,0.37,0.04,,,0.46,0.02,0.38,0.05,,,0.41,0.02,0.01,0.02,,,0.01,0.01,0.12,0.07,,,0.043,0.014,  941 ,  74 ,,  869 ,  59 ,
1,ALABAMA,31,10302,Dothan,0.39,0.01,0.02,0.0,"  5,437 ",0.32,0.01,0.42,0.03,0.43,0.01,0.03,0.01,0.04,0.02,0.01,0.0,"  3,154 ","  1,900 ",  203 ,0.41,0.01,0.36,0.01,0.0,0.0,0.04,0.01,"  2,774 ","  2,663 ",0.35,0.01,0.43,0.04,0.45,0.01,0.3,0.01,0.4,0.04,0.41,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.07,0.02,0.108,0.06,0.02,0.007,"  1,570 ",  983 ,  106 ,"  1,584 ",  916 ,  97 
1,ALABAMA,33,6200,Florence,0.37,0.01,0.02,0.0,"  6,719 ",0.31,0.01,0.36,0.03,0.41,0.01,0.03,0.01,0.0,0.01,0.01,0.0,"  4,526 ","  1,854 ",  161 ,0.38,0.01,0.37,0.01,0.0,0.0,0.03,0.01,"  3,438 ","  3,282 ",0.33,0.01,0.35,0.05,0.4,0.01,0.3,0.01,0.37,0.05,0.42,0.01,0.01,0.0,0.01,0.02,0.01,0.0,0.06,0.02,-0.008,0.01,0.021,0.006,"  2,283 ",  959 ,  91 ,"  2,241 ",  895 ,  70 
1,ALABAMA,35,11002,Atmore,0.37,0.01,0.03,0.01,"  2,658 ",0.33,0.01,,,0.44,0.02,0.03,0.01,,,0.01,0.01,  877 ,"  1,769 ",,0.39,0.01,0.34,0.01,0.0,0.0,0.06,0.01,"  1,364 ","  1,294 ",0.35,0.01,,,0.47,0.02,0.32,0.01,,,0.4,0.02,0.0,0.0,,,0.0,0.0,0.06,0.02,,,0.021,0.014,  443 ,  915 ,,  434 ,  852 ,
1,ALABAMA,37,9500,Talladega,0.35,0.01,0.05,0.01,"  2,046 ",0.31,0.01,,,0.42,0.02,0.05,0.02,,,0.06,0.01,  940 ,"  1,062 ",,0.34,0.01,0.37,0.01,0.02,0.01,0.08,0.02,"  1,134 ",  921 ,0.32,0.02,,,0.38,0.02,0.29,0.02,,,0.46,0.03,0.01,0.01,,,0.05,0.01,0.11,0.03,,,0.081,0.026,  528 ,  575 ,,  418 ,  490 ,
1,ALABAMA,39,11102,Troy,0.41,0.01,0.03,0.0,"  5,882 ",0.31,0.01,0.47,0.06,0.45,0.01,0.06,0.01,-0.02,0.02,0.02,0.0,"  4,273 ","  1,361 ",  65 ,0.41,0.01,0.41,0.01,0.01,0.0,0.07,0.01,"  2,932 ","  2,946 ",0.31,0.01,,,0.45,0.01,0.3,0.02,,,0.44,0.01,0.01,0.0,,,0.0,0.0,0.14,0.03,,,0.04,0.008,"  2,134 ",  691 ,,"  2,138 ",  673 ,
1,ALABAMA,41,11102,Troy,0.41,0.01,0.0,0.0,"  2,278 ",0.35,0.01,,,0.46,0.01,0.01,0.01,,,0.0,0.0,"  1,311 ",  920 ,,0.42,0.01,0.4,0.01,0.0,0.0,0.01,0.0,"  1,189 ","  1,087 ",0.35,0.02,,,0.46,0.02,0.35,0.02,,,0.45,0.02,0.01,0.01,,,0.01,0.01,0.03,0.02,,,0.001,0.003,  680 ,  475 ,,  629 ,  445 ,
1,ALABAMA,43,10700,Birmingham,0.4,0.0,0.02,0.0,"  10,641 ",0.34,0.03,0.35,0.03,0.42,0.0,0.0,0.01,0.0,0.0,0.02,0.0,"  9,804 ",  110 ,  481 ,0.41,0.01,0.4,0.01,0.01,0.0,0.03,0.0,"  5,568 ","  5,075 ",0.31,0.04,0.36,0.03,0.42,0.01,0.37,0.05,0.35,0.04,0.42,0.01,0.0,0.01,0.0,0.01,0.01,0.0,0.01,0.03,-0.007,0.01,0.027,0.004,"  5,148 ",  50 ,  254 ,"  4,660 ",  61 ,  227 
1,ALABAMA,45,10302,Dothan,0.38,0.0,0.03,0.0,"  7,339 ",0.32,0.01,0.45,0.02,0.43,0.01,0.04,0.01,0.0,0.0,0.02,0.0,"  3,863 ","  2,765 ",  391 ,0.4,0.01,0.36,0.01,0.01,0.0,0.05,0.01,"  3,780 ","  3,558 ",0.34,0.01,0.44,0.03,0.46,0.01,0.3,0.01,0.46,0.03,0.41,0.01,0.01,0.0,0.0,0.0,0.01,0.0,0.09,0.02,0.009,0.01,0.033,0.007,"  2,013 ","  1,419 ",  212 ,"  1,850 ","  1,347 ",  179 
1,ALABAMA,47,10801,Tuscaloosa,0.34,0.0,0.02,0.0,"  9,504 ",0.31,0.0,0.29,0.04,0.44,0.01,0.02,0.0,0.08,0.05,0.0,0.0,"  1,288 ","  8,423 ",  84 ,0.35,0.01,0.32,0.01,0.0,0.0,0.04,0.01,"  4,624 ","  4,880 ",0.32,0.01,,,0.46,0.02,0.31,0.01,0.24,0.06,0.41,0.02,0.0,0.0,,,0.0,0.0,0.05,0.01,,,0.004,0.002,  642 ,"  4,084 ",  42 ,  647 ,"  4,332 ",
1,ALABAMA,49,6100,Gadsden,0.4,0.0,0.01,0.0,"  9,904 ",0.36,0.03,0.36,0.02,0.41,0.01,0.03,0.02,0.0,0.0,0.01,0.0,"  8,434 ",  280 ,"  1,095 ",0.4,0.01,0.39,0.01,0.0,0.0,0.02,0.0,"  5,271 ","  4,643 ",0.4,0.04,0.33,0.03,0.41,0.01,0.32,0.04,0.39,0.03,0.41,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.07,0.05,0.001,0.01,0.025,0.005,"  4,511 ",  135 ,  560 ,"  3,936 ",  143 ,  538 
1,ALABAMA,51,11101,Montgomery,0.38,0.0,0.02,0.0,"  8,441 ",0.32,0.01,0.35,0.03,0.43,0.01,0.03,0.01,0.01,0.01,0.02,0.0,"  4,971 ","  3,176 ",  147 ,0.39,0.01,0.36,0.01,0.0,0.0,0.04,0.01,"  4,262 ","  4,177 ",0.33,0.01,0.25,0.05,0.45,0.01,0.31,0.01,0.42,0.05,0.41,0.01,0.01,0.0,0.02,0.02,0.0,0.0,0.06,0.01,-0.012,0.01,0.029,0.007,"  2,485 ","  1,637 ",  90 ,"  2,484 ","  1,544 ",  61 
1,ALABAMA,53,11002,Atmore,0.37,0.01,0.03,0.0,"  6,076 ",0.31,0.01,0.35,0.04,0.42,0.01,0.04,0.01,0.06,0.05,0.02,0.01,"  2,812 ","  2,874 ",  92 ,0.36,0.01,0.37,0.01,0.0,0.0,0.06,0.01,"  3,132 ","  2,945 ",0.3,0.01,0.37,0.06,0.41,0.01,0.32,0.01,0.32,0.06,0.43,0.01,0.0,0.0,,,0.0,0.0,0.08,0.02,,,0.043,0.011,"  1,519 ","  1,420 ",  33 ,"  1,296 ","  1,451 ",  61 
1,ALABAMA,55,6100,Gadsden,0.36,0.0,0.03,0.0,"  14,630 ",0.31,0.01,0.4,0.02,0.39,0.0,0.05,0.01,0.01,0.01,0.02,0.0,"  10,045 ","  3,793 ",  494 ,0.38,0.0,0.35,0.0,0.01,0.0,0.06,0.01,"  7,558 ","  7,075 ",0.33,0.01,0.4,0.03,0.41,0.01,0.29,0.01,0.41,0.04,0.38,0.01,0.01,0.0,0.02,0.01,0.01,0.0,0.11,0.02,0.007,0.01,0.04,0.005,"  5,273 ","  1,874 ",  243 ,"  4,776 ","  1,916 ",  249 
1,ALABAMA,57,10600,Jasper,0.4,0.01,0.03,0.01,"  2,779 ",0.35,0.02,,,0.43,0.01,0.03,0.02,,,0.03,0.01,"  2,147 ",  524 ,,0.42,0.01,0.39,0.01,0.01,0.0,0.05,0.01,"  1,438 ","  1,341 ",0.35,0.02,,,0.45,0.02,0.33,0.02,,,0.41,0.01,0.0,0.01,,,0.01,0.0,0.08,0.04,,,0.046,0.013,"  1,110 ",  273 ,,"  1,038 ",  250 ,
1,ALABAMA,59,6200,Florence,0.41,0.01,0.01,0.0,"  4,393 ",0.36,0.03,0.38,0.03,0.42,0.01,0.01,0.01,0.01,0.01,0.01,0.0,"  3,432 ",  306 ,  727 ,0.42,0.01,0.39,0.01,0.01,0.0,0.02,0.01,"  2,270 ","  2,123 ",0.38,0.02,0.37,0.03,0.43,0.01,0.32,0.04,0.39,0.04,0.41,0.01,0.0,0.0,0.02,0.02,0.01,0.0,0.04,0.03,0.018,0.02,0.02,0.007,"  1,789 ",  131 ,  372 ,"  1,644 ",  164 ,  353 
1,ALABAMA,61,10302,Dothan,0.39,0.01,0.02,0.0,"  4,106 ",0.32,0.01,0.45,0.05,0.42,0.01,0.03,0.01,0.05,0.06,0.02,0.0,"  3,133 ",  769 ,  106 ,0.41,0.01,0.37,0.01,0.0,0.0,0.04,0.01,"  2,135 ","  1,973 ",0.34,0.02,0.42,0.07,0.43,0.01,0.3,0.02,0.52,0.08,0.4,0.01,0.0,0.0,0.07,0.03,0.0,0.0,0.06,0.03,,,0.035,0.009,"  1,591 ",  415 ,  61 ,"  1,540 ",  353 ,  44 
1,ALABAMA,63,10802,Demopolis,0.33,0.01,0.02,0.01,"  2,472 ",0.32,0.01,,,0.44,0.04,0.02,0.0,,,0.01,0.02,  160 ,"  2,291 ",,0.33,0.01,0.33,0.01,0.0,0.0,0.04,0.01,"  1,269 ","  1,202 ",0.31,0.01,,,0.5,0.06,0.33,0.01,,,0.4,0.04,0.0,0.0,,,0.01,0.02,0.04,0.01,,,0.021,0.028,  91 ,"  1,178 ",,  70 ,"  1,108 ",
1,ALABAMA,65,10801,Tuscaloosa,0.36,0.01,0.01,0.0,"  3,927 ",0.33,0.01,,,0.45,0.02,0.01,0.0,,,0.01,0.01,  707 ,"  3,118 ",,0.36,0.01,0.35,0.01,0.0,0.0,0.02,0.01,"  2,028 ","  1,901 ",0.33,0.01,,,0.46,0.03,0.33,0.01,,,0.45,0.03,0.0,0.0,,,0.02,0.01,0.03,0.01,,,0.004,0.005,  387 ,"  1,559 ",,  323 ,"  1,558 ",
1,ALABAMA,67,10302,Dothan,0.36,0.01,0.04,0.01,"  2,383 ",0.32,0.01,0.28,0.05,0.42,0.01,0.05,0.01,,,0.02,0.01,  983 ,"  1,309 ",  67 ,0.37,0.01,0.34,0.01,0.0,0.0,0.08,0.02,"  1,240 ","  1,142 ",0.33,0.01,,,0.44,0.02,0.3,0.01,,,0.41,0.02,0.0,0.0,,,0.0,0.0,0.11,0.02,,,0.044,0.018,  509 ,  664 ,,  474 ,  645 ,
1,ALABAMA,69,10302,Dothan,0.36,0.0,0.03,0.0,"  12,653 ",0.3,0.0,0.41,0.03,0.42,0.01,0.05,0.01,0.03,0.02,0.02,0.0,"  6,150 ","  6,033 ",  252 ,0.37,0.01,0.35,0.01,0.01,0.0,0.06,0.01,"  6,376 ","  6,279 ",0.31,0.01,0.38,0.04,0.43,0.01,0.29,0.01,0.44,0.04,0.41,0.01,0.01,0.0,0.0,0.01,0.01,0.0,0.1,0.01,0.085,0.05,0.032,0.006,"  3,105 ","  3,057 ",  117 ,"  3,047 ","  2,976 ",  134 
1,ALABAMA,71,6100,Gadsden,0.39,0.01,0.02,0.0,"  7,169 ",0.32,0.02,0.39,0.04,0.41,0.01,0.04,0.02,-0.01,0.01,0.02,0.0,"  6,220 ",  431 ,  164 ,0.41,0.01,0.38,0.01,0.0,0.0,0.03,0.01,"  3,610 ","  3,556 ",0.31,0.02,0.39,0.05,0.42,0.01,0.34,0.03,0.39,0.05,0.4,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.09,0.05,0.019,0.02,0.031,0.007,"  3,119 ",  238 ,  80 ,"  3,097 ",  194 ,  82 
1,ALABAMA,73,10700,Birmingham,0.34,0.0,0.03,0.0,"  84,838 ",0.32,0.0,0.36,0.01,0.42,0.0,0.04,0.0,0.01,0.0,0.02,0.0,"  23,194 ","  60,188 ","  1,715 ",0.36,0.0,0.33,0.0,0.01,0.0,0.07,0.0,"  43,071 ","  41,751 ",0.33,0.0,0.37,0.02,0.44,0.0,0.3,0.0,0.36,0.02,0.41,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.09,0.0,0.021,0.01,0.032,0.003,"  12,027 ","  30,300 ",  867 ,"  11,171 ","  29,859 ",  839 
1,ALABAMA,75,10600,Jasper,0.43,0.01,0.02,0.01,"  2,227 ",0.37,0.03,,,0.45,0.01,0.05,0.03,,,0.02,0.01,"  1,735 ",  487 ,,0.43,0.02,0.43,0.02,0.01,0.01,0.03,0.01,"  1,140 ","  1,083 ",0.4,0.03,,,0.45,0.02,0.33,0.03,,,0.45,0.02,-0.01,0.01,,,0.01,0.01,0.1,0.06,,,0.026,0.011,  905 ,  235 ,,  827 ,  253 ,
1,ALABAMA,77,6200,Florence,0.4,0.0,0.01,0.0,"  9,804 ",0.34,0.01,0.38,0.03,0.42,0.01,0.04,0.01,0.0,0.0,0.01,0.0,"  7,331 ","  1,932 ",  215 ,0.4,0.01,0.39,0.01,0.0,0.0,0.03,0.0,"  5,038 ","  4,767 ",0.35,0.01,0.39,0.04,0.43,0.01,0.34,0.01,0.37,0.05,0.42,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.08,0.02,-0.012,0.01,0.012,0.003,"  3,792 ",  984 ,  115 ,"  3,540 ",  949 ,  101 
1,ALABAMA,79,6000,Huntsville,0.39,0.01,0.01,0.0,"  4,575 ",0.33,0.01,0.42,0.05,0.41,0.01,0.01,0.0,0.02,0.03,0.02,0.0,"  3,159 ",  910 ,  84 ,0.39,0.01,0.39,0.01,0.0,0.0,0.02,0.01,"  2,482 ","  2,094 ",0.32,0.01,,,0.41,0.01,0.35,0.02,0.47,0.06,0.41,0.01,0.0,0.0,,,0.01,0.0,0.01,0.01,,,0.025,0.007,"  1,737 ",  449 ,  49 ,"  1,421 ",  460 ,
1,ALABAMA,81,9800,Auburn,0.36,0.0,0.03,0.0,"  12,083 ",0.33,0.01,0.34,0.03,0.42,0.01,0.04,0.01,0.01,0.01,0.02,0.0,"  5,300 ","  6,235 ",  207 ,0.38,0.01,0.35,0.01,0.01,0.0,0.06,0.01,"  5,989 ","  6,091 ",0.34,0.01,0.39,0.04,0.43,0.01,0.32,0.01,0.3,0.04,0.41,0.01,0.01,0.0,0.01,0.01,0.01,0.0,0.09,0.01,0.037,0.03,0.038,0.008,"  2,710 ","  2,998 ",  105 ,"  2,590 ","  3,226 ",  103 
1,ALABAMA,83,6000,Huntsville,0.37,0.0,0.02,0.0,"  7,556 ",0.31,0.01,0.4,0.03,0.39,0.01,0.04,0.01,0.01,0.01,0.02,0.0,"  5,323 ","  1,537 ",  459 ,0.38,0.01,0.36,0.01,0.0,0.0,0.04,0.01,"  3,939 ","  3,617 ",0.31,0.01,0.42,0.04,0.41,0.01,0.31,0.01,0.36,0.04,0.38,0.01,0.0,0.0,0.02,0.01,0.01,0.0,0.09,0.02,0.029,0.03,0.026,0.006,"  2,746 ",  848 ,  239 ,"  2,579 ",  695 ,  215 
1,ALABAMA,85,11101,Montgomery,0.33,0.01,0.02,0.0,"  3,472 ",0.32,0.01,,,0.47,0.03,0.02,0.0,,,0.01,0.01,  319 ,"  3,079 ",,0.35,0.01,0.31,0.01,0.0,0.0,0.04,0.01,"  1,764 ","  1,709 ",0.33,0.01,,,0.51,0.04,0.3,0.01,,,0.44,0.04,0.0,0.0,,,0.01,0.01,0.04,0.01,,,0.015,0.016,  148 ,"  1,579 ",,  170 ,"  1,503 ",
1,ALABAMA,87,9800,Auburn,0.32,0.01,0.03,0.0,"  4,974 ",0.31,0.01,0.38,0.05,0.38,0.02,0.03,0.01,0.0,0.02,0.02,0.01,  330 ,"  4,553 ",  41 ,0.33,0.01,0.3,0.01,0.0,0.0,0.06,0.01,"  2,480 ","  2,491 ",0.33,0.01,,,0.42,0.03,0.3,0.01,,,0.33,0.03,0.0,0.0,,,0.01,0.01,0.06,0.01,,,0.041,0.031,  152 ,"  2,303 ",,  180 ,"  2,254 ",
1,ALABAMA,89,6000,Huntsville,0.36,0.0,0.03,0.0,"  27,732 ",0.31,0.0,0.39,0.02,0.41,0.0,0.05,0.0,0.0,0.0,0.02,0.0,"  14,523 ","  11,750 ",  689 ,0.38,0.0,0.34,0.0,0.01,0.0,0.07,0.0,"  14,005 ","  13,726 ",0.33,0.0,0.4,0.02,0.42,0.01,0.29,0.01,0.38,0.02,0.39,0.01,0.01,0.0,0.0,0.0,0.01,0.0,0.11,0.01,0.004,0.0,0.042,0.005,"  7,273 ","  5,973 ",  377 ,"  7,252 ","  5,775 ",  316 
1,ALABAMA,91,10802,Demopolis,0.37,0.01,0.02,0.0,"  3,984 ",0.34,0.01,,,0.47,0.02,0.02,0.0,,,0.02,0.01,  730 ,"  3,355 ",,0.37,0.01,0.37,0.01,0.0,0.0,0.03,0.01,"  2,004 ","  1,979 ",0.34,0.01,,,0.48,0.02,0.34,0.01,,,0.47,0.03,0.0,0.0,,,0.01,0.01,0.04,0.01,,,0.021,0.015,  365 ,"  1,665 ",,  363 ,"  1,687 ",
1,ALABAMA,93,10600,Jasper,0.39,0.01,0.01,0.0,"  4,274 ",0.4,0.05,0.45,0.05,0.41,0.01,0.01,0.01,0.06,0.06,0.01,0.0,"  3,883 ",  171 ,  112 ,0.41,0.01,0.38,0.01,0.01,0.0,0.02,0.01,"  2,219 ","  2,054 ",0.41,0.07,,,0.42,0.01,0.38,0.05,,,0.4,0.01,,,,,0.01,0.0,0.0,0.02,,,0.017,0.005,"  1,977 ",  99 ,,"  1,905 ",  71 ,
1,ALABAMA,95,6100,Gadsden,0.39,0.0,0.02,0.0,"  11,632 ",0.31,0.02,0.36,0.02,0.4,0.0,0.04,0.02,0.02,0.01,0.02,0.0,"  9,745 ",  335 ,"  1,379 ",0.4,0.01,0.38,0.01,0.01,0.0,0.04,0.0,"  5,970 ","  5,662 ",0.32,0.03,0.38,0.02,0.41,0.01,0.31,0.03,0.35,0.02,0.4,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.1,0.05,0.033,0.02,0.034,0.005,"  4,940 ",  202 ,  791 ,"  4,803 ",  135 ,  598 
1,ALABAMA,97,11001,Mobile,0.36,0.0,0.03,0.0,"  64,760 ",0.31,0.0,0.4,0.01,0.43,0.0,0.04,0.0,0.01,0.01,0.02,0.0,"  24,209 ","  37,167 ",  930 ,0.37,0.0,0.35,0.0,0.0,0.0,0.06,0.0,"  32,761 ","  31,997 ",0.32,0.0,0.4,0.02,0.43,0.0,0.3,0.0,0.41,0.02,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.024,0.01,0.029,0.003,"  12,362 ","  18,715 ",  448 ,"  11,845 ","  18,445 ",  481 
