state code,state,county,cz,czname,kfr_pooled_pooled_p25,kfr_pooled_pooled_p25_se,jail_pooled_pooled_p25,jail_pooled_pooled_p25_se, pooled_pooled_count ,kfr_black_pooled_p25,kfr_black_pooled_p25_se,kfr_hisp_pooled_p25,kfr_hisp_pooled_p25_se,kfr_white_pooled_p25,kfr_white_pooled_p25_se,jail_black_pooled_p25,jail_black_pooled_p25_se,jail_hisp_pooled_p25,jail_hisp_pooled_p25_se,jail_white_pooled_p25,jail_white_pooled_p25_se, white_pooled_count , black_pooled_count , hisp_pooled_count ,kfr_pooled_female_p25,kfr_pooled_female_p25_se,kfr_pooled_male_p25,kfr_pooled_male_p25_se,jail_pooled_female_p25,jail_pooled_female_p25_se,jail_pooled_male_p25,jail_pooled_male_p25_se, pooled_male_count , pooled_female_count ,kfr_black_female_p25,kfr_black_female_p25_se,kfr_hisp_female_p25,kfr_hisp_female_p25_se,kfr_white_female_p25,kfr_white_female_p25_se,kfr_black_male_p25,kfr_black_male_p25_se,kfr_hisp_male_p25,kfr_hisp_male_p25_se,kfr_white_male_p25,kfr_white_male_p25_se,jail_black_female_p25,jail_black_female_p25_se,jail_hisp_female_p25,jail_hisp_female_p25_se,jail_white_female_p25,jail_white_female_p25_se,jail_black_male_p25,jail_black_male_p25_se,jail_hisp_male_p25,jail_hisp_male_p25_se,jail_white_male_p25,jail_white_male_p25_se, white_male_count , black_male_count , hisp_male_count , white_female_count , black_female_count , hisp_female_count 
48,TEXAS,261,31700,Corpus Christi,0.42,0.05,-0.01,0.02,  107 ,,,0.42,0.05,,,,,0.0,0.01,,,,,  87 ,0.46,0.07,0.4,0.06,,,-0.01,0.03,  60 ,  47 ,,,,,,,,,0.41,0.06,,,,,,,,,,,,,,,,,  49 ,,,
48,TEXAS,263,32403,Snyder,0.51,0.06,0.02,0.04,  108 ,,,,,0.34,0.07,,,,,0.04,0.07,  79 ,,,0.44,0.07,0.59,0.1,0.02,0.04,,,  45 ,  62 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,TEXAS,265,31303,Kerrville,0.41,0.01,0.03,0.0,"  6,167 ",0.34,0.03,0.39,0.01,0.47,0.01,0.09,0.04,0.03,0.01,0.03,0.01,"  3,240 ",  170 ,"  2,595 ",0.42,0.01,0.41,0.01,0.01,0.0,0.06,0.01,"  3,161 ","  3,004 ",0.34,0.04,0.41,0.01,0.47,0.01,0.31,0.04,0.38,0.01,0.47,0.01,0.0,0.01,0.01,0.0,0.01,0.0,0.22,0.09,0.066,0.02,0.05,0.011,"  1,675 ",  78 ,"  1,317 ","  1,566 ",  92 ,"  1,276 "
48,TEXAS,267,32303,Junction,0.39,0.01,0.02,0.01,  792 ,,,0.41,0.02,0.4,0.02,,,0.0,0.0,0.03,0.01,  491 ,,  292 ,0.36,0.02,0.41,0.02,0.0,0.0,0.04,0.02,  399 ,  394 ,,,0.43,0.03,0.35,0.02,,,0.38,0.04,0.44,0.03,,,0.0,0.01,0.0,0.01,,,-0.011,0.01,0.057,0.029,  250 ,,  145 ,  241 ,,  147 
48,TEXAS,269,32503,Haskell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,TEXAS,271,32305,Del Rio,0.43,0.04,0.0,0.01,  591 ,,,0.43,0.04,0.53,0.1,,,-0.02,0.02,0.0,0.03,  75 ,,  536 ,0.45,0.06,0.43,0.05,-0.02,0.02,0.01,0.02,  286 ,  308 ,,,,,,,,,0.4,0.05,,,,,,,,,,,0.025,0.04,,,,,  264 ,,,
48,TEXAS,273,31700,Corpus Christi,0.44,0.01,0.02,0.0,"  5,251 ",0.35,0.03,0.45,0.01,0.47,0.02,0.08,0.04,0.02,0.0,0.03,0.01,  664 ,  191 ,"  4,346 ",0.43,0.01,0.46,0.01,0.0,0.0,0.04,0.01,"  2,733 ","  2,518 ",0.47,0.05,0.42,0.01,0.49,0.02,0.3,0.04,0.47,0.01,0.46,0.02,0.03,0.04,0.0,0.0,0.0,0.0,0.11,0.07,0.034,0.01,0.057,0.024,  338 ,  96 ,"  2,301 ",  326 ,  95 ,"  2,048 "
48,TEXAS,275,32503,Haskell,0.45,0.02,0.0,0.0,  865 ,,,0.43,0.03,0.54,0.04,,,0.0,0.0,0.0,0.01,  347 ,,  394 ,0.41,0.03,0.49,0.04,0.01,0.01,0.01,0.02,  427 ,  438 ,,,0.39,0.04,0.51,0.05,,,0.48,0.05,0.56,0.05,,,-0.01,0.01,0.01,0.03,,,-0.003,0.01,0.007,0.012,  192 ,,  172 ,  151 ,,  220 
48,TEXAS,277,33200,Paris,0.39,0.01,0.05,0.0,"  7,675 ",0.31,0.01,0.44,0.02,0.43,0.01,0.1,0.01,0.01,0.0,0.04,0.01,"  5,045 ","  1,875 ",  431 ,0.41,0.01,0.37,0.01,0.01,0.0,0.09,0.01,"  3,981 ","  3,696 ",0.31,0.01,0.48,0.03,0.45,0.01,0.3,0.01,0.41,0.03,0.41,0.01,0.01,0.0,0.0,0.0,0.01,0.0,0.2,0.03,0.014,0.01,0.061,0.01,"  2,619 ",  930 ,  235 ,"  2,427 ",  944 ,  197 
48,TEXAS,279,30902,Littlefield,0.42,0.01,0.03,0.01,"  2,935 ",0.33,0.02,0.4,0.01,0.52,0.02,0.12,0.04,0.03,0.01,0.01,0.01,  695 ,  152 ,"  2,077 ",0.42,0.01,0.42,0.01,0.0,0.0,0.07,0.02,"  1,379 ","  1,540 ",0.3,0.03,0.4,0.01,0.53,0.02,0.36,0.05,0.41,0.02,0.51,0.03,0.0,0.01,0.0,0.0,0.0,0.0,0.25,0.09,0.065,0.02,0.035,0.02,  326 ,  61 ,  989 ,  364 ,  91 ,"  1,075 "
48,TEXAS,281,32900,Killeen,0.42,0.01,0.01,0.0,"  2,680 ",0.31,0.03,0.4,0.02,0.47,0.01,0.03,0.02,0.01,0.01,0.01,0.01,"  1,724 ",  106 ,  805 ,0.43,0.01,0.42,0.01,0.0,0.0,0.03,0.01,"  1,375 ","  1,306 ",0.36,0.04,0.4,0.02,0.46,0.02,0.23,0.04,0.4,0.02,0.47,0.02,-0.01,0.01,0.0,0.0,0.0,0.0,0.07,0.06,0.025,0.01,0.031,0.01,  874 ,  53 ,  431 ,  849 ,  53 ,  372 
48,TEXAS,283,31502,Pearsall,0.42,0.01,0.01,0.01,"  1,412 ",,,0.43,0.01,0.5,0.05,,,0.02,0.01,0.0,0.01,  118 ,,"  1,250 ",0.42,0.02,0.42,0.02,0.0,0.0,0.04,0.01,  708 ,  702 ,,,0.42,0.02,0.49,0.06,,,0.43,0.02,0.5,0.08,,,0.0,0.0,0.01,0.03,,,0.031,0.01,0.025,0.056,  58 ,,  622 ,  58 ,,  628 
48,TEXAS,285,31101,Victoria,0.51,0.01,0.02,0.01,"  2,658 ",0.39,0.02,0.44,0.02,0.58,0.01,0.06,0.02,0.02,0.01,0.01,0.0,"  1,659 ",  359 ,  692 ,0.48,0.01,0.54,0.01,0.0,0.0,0.04,0.01,"  1,365 ","  1,294 ",0.37,0.03,0.42,0.02,0.56,0.02,0.44,0.04,0.46,0.03,0.6,0.02,0.04,0.03,0.0,0.0,0.0,0.0,0.1,0.05,0.045,0.02,0.02,0.008,  872 ,  192 ,  349 ,  786 ,  164 ,  342 
48,TEXAS,287,31201,Austin,0.44,0.01,0.03,0.01,"  2,308 ",0.36,0.02,0.46,0.02,0.51,0.02,0.05,0.02,0.02,0.01,0.02,0.01,  921 ,  506 ,  940 ,0.42,0.02,0.47,0.02,0.01,0.01,0.05,0.01,"  1,223 ","  1,084 ",0.35,0.03,0.43,0.03,0.48,0.02,0.36,0.04,0.48,0.03,0.55,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.11,0.05,0.035,0.02,0.033,0.017,  476 ,  264 ,  528 ,  446 ,  235 ,  412 
48,TEXAS,289,32802,Corsicana,0.47,0.01,0.02,0.01,"  1,968 ",0.37,0.03,0.42,0.04,0.52,0.02,0.08,0.04,0.02,0.02,0.01,0.01,"  1,326 ",  372 ,  345 ,0.49,0.02,0.45,0.02,0.0,0.0,0.04,0.02,"  1,067 ",  905 ,0.38,0.03,0.41,0.05,0.54,0.02,0.37,0.04,0.44,0.05,0.51,0.02,0.02,0.03,0.0,0.01,0.01,0.01,0.14,0.07,0.04,0.05,0.02,0.014,  692 ,  200 ,  231 ,  635 ,  170 ,  139 
48,TEXAS,291,32000,Houston,0.43,0.0,0.03,0.0,"  10,314 ",0.35,0.01,0.49,0.01,0.47,0.01,0.06,0.01,0.02,0.01,0.02,0.0,"  6,103 ","  1,694 ","  2,292 ",0.43,0.01,0.43,0.01,0.01,0.0,0.04,0.01,"  5,284 ","  5,030 ",0.34,0.01,0.48,0.02,0.47,0.01,0.36,0.02,0.5,0.02,0.46,0.01,0.03,0.01,0.0,0.0,0.01,0.0,0.1,0.02,0.037,0.01,0.033,0.006,"  3,141 ",  848 ,"  1,180 ","  2,962 ",  846 ,"  1,110 "
48,TEXAS,293,32802,Corsicana,0.4,0.01,0.05,0.01,"  3,754 ",0.33,0.01,0.45,0.02,0.45,0.01,0.09,0.02,0.04,0.02,0.03,0.01,"  1,692 ","  1,075 ",  893 ,0.41,0.01,0.38,0.01,0.02,0.0,0.09,0.01,"  1,932 ","  1,822 ",0.34,0.01,0.46,0.03,0.47,0.02,0.31,0.02,0.44,0.03,0.43,0.02,0.01,0.01,0.0,0.01,0.02,0.01,0.19,0.04,0.073,0.04,0.04,0.013,  843 ,  552 ,  490 ,  848 ,  525 ,  403 
48,TEXAS,295,31005,Perryton,0.56,0.03,0.01,0.01,  511 ,,,0.57,0.05,0.59,0.03,,,0.05,0.05,-0.01,0.01,  301 ,,  218 ,0.6,0.04,0.55,0.04,0.0,0.01,0.01,0.02,  265 ,  240 ,,,,,0.65,0.05,,,0.62,0.06,0.55,0.04,,,,,0.0,0.01,,,0.058,0.06,-0.013,0.01,  154 ,,  118 ,  145 ,,
48,TEXAS,297,31301,San Antonio,0.47,0.01,0.01,0.0,"  1,571 ",,,0.43,0.02,0.51,0.02,,,0.0,0.0,0.01,0.01,  700 ,,  930 ,0.45,0.02,0.5,0.02,0.0,0.0,0.02,0.01,  765 ,  805 ,,,0.42,0.02,0.47,0.03,,,0.46,0.03,0.54,0.03,,,0.0,0.0,0.01,0.01,,,0.001,0.0,0.012,0.009,  370 ,,  417 ,  332 ,,  510 
48,TEXAS,299,31202,Burnet,0.43,0.01,0.02,0.01,"  1,620 ",,,0.41,0.03,0.45,0.01,,,0.0,0.0,0.02,0.01,"  1,297 ",,  268 ,0.44,0.02,0.43,0.02,0.0,0.0,0.04,0.01,  843 ,  777 ,,,0.39,0.03,0.46,0.02,,,0.43,0.04,0.45,0.02,,,0.0,0.01,0.0,0.0,,,0.002,0.01,0.04,0.014,  696 ,,  127 ,  603 ,,  141 
48,TEXAS,301,31402,Pecos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,TEXAS,303,30802,Lubbock,0.4,0.0,0.04,0.0,"  35,631 ",0.31,0.0,0.38,0.0,0.47,0.0,0.08,0.01,0.04,0.0,0.03,0.0,"  11,337 ","  5,116 ","  19,628 ",0.41,0.0,0.39,0.0,0.01,0.0,0.08,0.0,"  18,442 ","  17,192 ",0.32,0.01,0.38,0.0,0.49,0.01,0.3,0.01,0.37,0.0,0.46,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.16,0.01,0.073,0.01,0.05,0.006,"  5,881 ","  2,605 ","  10,154 ","  5,456 ","  2,510 ","  9,472 "
48,TEXAS,305,30802,Lubbock,0.4,0.02,0.04,0.02,"  1,435 ",,,0.4,0.02,0.46,0.03,,,0.07,0.02,0.01,0.01,  373 ,,"  1,037 ",0.4,0.02,0.4,0.02,0.01,0.01,0.08,0.03,  695 ,  738 ,,,0.42,0.03,0.45,0.05,,,0.38,0.03,0.47,0.05,,,0.04,0.02,0.0,0.01,,,0.123,0.04,0.041,0.047,  148 ,,  555 ,  226 ,,  483 
48,TEXAS,307,32302,Brady,0.45,0.01,0.02,0.01,"  1,584 ",0.35,0.06,0.44,0.02,0.51,0.02,,,0.02,0.01,0.03,0.01,  776 ,  32 ,  721 ,0.47,0.02,0.44,0.02,0.0,0.0,0.05,0.02,  840 ,  742 ,,,0.44,0.02,0.51,0.02,,,0.44,0.02,0.5,0.02,,,0.01,0.01,0.0,0.0,,,0.027,0.01,0.041,0.021,  431 ,,  368 ,  353 ,,  355 
